Lon,Lat,Z
60.36864,5.362189,62.138
60.368599,5.362146,62.028
60.368719,5.36197,61.508
60.368739,5.362047,61.608
60.368599,5.362146,62.028
60.368543,5.362109,62.597
60.368543,5.362109,62.597
60.368512,5.362057,61.798
60.368485,5.362027,61.648
60.368432,5.361968,61.528
60.368403,5.361928,61.498
60.368372,5.361875,61.318
60.368357,5.361846,61.188
60.368346,5.361822,61.248
60.368338,5.3618,61.208
60.368332,5.361784,61.158
60.368326,5.361752,61.118
60.368324,5.361739,61.098
60.368322,5.361714,61.128
60.368321,5.361695,61.078
60.368321,5.361685,61.078
60.368321,5.361663,61.078
60.368324,5.361626,60.998
60.368328,5.361596,60.888
60.368333,5.361565,60.888
60.368341,5.361539,60.898
60.368344,5.361529,60.868
60.368352,5.361513,60.798
60.368361,5.361497,60.788
60.368374,5.361478,60.738
60.368387,5.361465,60.758
60.368393,5.36146,60.788
60.368403,5.361452,60.788
60.368421,5.361441,60.678
60.368439,5.361434,60.688
60.368452,5.361433,60.698
60.368466,5.361437,60.648
60.368471,5.36144,60.628
60.368489,5.361453,60.718
60.368507,5.361472,60.738
60.368549,5.361535,60.768
60.368573,5.361574,60.898
60.368619,5.361658,60.918
60.36864,5.361704,60.988
60.368644,5.361715,61.018
60.36868,5.361825,61.118
60.368684,5.361837,61.148
60.368698,5.361896,61.33
60.368698,5.361896,61.33
60.368719,5.36197,61.508
60.345105,5.364557,137.408
60.345092,5.364407,137.008
60.345092,5.364395,136.987
60.345316,5.363785,135.248
60.345321,5.363779,135.208
60.345347,5.363747,135.347
60.345092,5.364395,136.987
60.345088,5.364284,136.808
60.345089,5.364204,136.708
60.345104,5.364141,136.408
60.345141,5.364031,136.408
60.34517,5.363988,136.308
60.345223,5.363914,136.108
60.345316,5.363785,135.248
60.345347,5.363747,135.347
60.345358,5.363733,135.408
60.345382,5.363664,135.608
60.393316,5.326075,5.106
60.393273,5.326017,5.106
60.393265,5.325986,5.106
60.393265,5.325986,5.106
60.393194,5.325934,5.006
60.392531,5.325382,4.306
60.392479,5.325335,4.148
60.392164,5.325051,3.306
60.392142,5.325028,3.306
60.392116,5.325001,3.306
60.393194,5.325934,5.006
60.393116,5.325868,5.006
60.39304,5.325838,4.806
60.392879,5.3257,4.606
60.392672,5.325506,4.506
60.392582,5.325423,4.377
60.392479,5.325335,4.148
60.392201,5.325091,3.306
60.392164,5.325051,3.306
60.392582,5.325423,4.377
60.392531,5.325382,4.306
60.336621,5.346046,34.608
60.336627,5.346082,34.408
60.336644,5.346147,34.108
60.336644,5.346147,34.108
60.336649,5.346227,34.49
60.336647,5.346454,33.708
60.336618,5.346617,34.678
60.338047,5.352652,59.16
60.338067,5.352816,60.008
60.33809,5.352954,60.408
60.338133,5.353193,59.808
60.338182,5.353434,59.608
60.338212,5.35356,59.508
60.33825,5.353706,59.408
60.338323,5.353937,58.908
60.338378,5.354062,58.208
60.3384,5.354102,58.108
60.3384,5.354102,58.108
60.338429,5.354156,57.908
60.338469,5.354231,57.908
60.338505,5.354286,57.708
60.338591,5.35441,57.008
60.338701,5.354549,56.608
60.33882,5.354694,55.908
60.338894,5.354785,55.408
60.338933,5.354836,55.308
60.338987,5.354909,55.808
60.339033,5.354985,56.308
60.339082,5.355069,56.708
60.339119,5.355136,57.008
60.339181,5.355275,58.108
60.339222,5.35538,58.308
60.339301,5.355595,58.908
60.339321,5.355653,59.308
60.339389,5.355837,61.008
60.339468,5.356055,62.708
60.339536,5.356229,64.008
60.339585,5.356353,64.808
60.339595,5.356379,65.008
60.339595,5.356379,65.008
60.339633,5.356461,65.608
60.339734,5.356652,66.908
60.339772,5.356723,67.608
60.339852,5.356856,69.608
60.339935,5.356972,70.108
60.339976,5.357029,70.408
60.340019,5.357084,70.608
60.340019,5.357084,70.608
60.340098,5.357195,71.608
60.340205,5.357346,73.408
60.340205,5.357346,73.408
60.340272,5.357424,74.308
60.340345,5.357521,75.508
60.340451,5.357659,77.308
60.340514,5.357752,78.008
60.340624,5.357903,79.008
60.340697,5.357997,79.808
60.340755,5.35808,80.908
60.34081,5.358145,82.008
60.34086,5.358213,82.608
60.340964,5.358355,84.108
60.341042,5.358456,86.108
60.341146,5.358596,89.108
60.341183,5.358646,90.008
60.341294,5.358804,92.508
60.34138,5.358915,94.308
60.341484,5.359065,96.408
60.341595,5.359226,98.008
60.34168,5.359349,99.508
60.341734,5.359428,99.808
60.341804,5.359534,100.608
60.341914,5.359685,101.108
60.342004,5.359823,102.108
60.342004,5.359823,102.108
60.342094,5.359942,102.508
60.3422,5.360102,104.608
60.342256,5.360185,105.708
60.342359,5.360339,107.408
60.342412,5.360417,107.808
60.342477,5.360519,108.608
60.342561,5.360655,110.508
60.342664,5.36081,112.108
60.34272,5.360905,113.008
60.342784,5.361007,114.508
60.342889,5.36117,116.108
60.342979,5.361317,117.308
60.343078,5.361476,118.708
60.343136,5.361564,119.708
60.343136,5.361564,119.708
60.343151,5.361591,119.708
60.343198,5.361655,119.908
60.343305,5.361804,121.008
60.343413,5.361943,121.708
60.343461,5.362002,121.808
60.343489,5.362036,122.308
60.343489,5.362036,122.308
60.343529,5.36208,122.708
60.343571,5.362129,122.774
60.344233,5.362883,131.508
60.344263,5.362911,132.008
60.344263,5.362911,132.008
60.344305,5.362951,132.708
60.344373,5.363018,133.808
60.344443,5.363068,134.908
60.34456,5.36315,135.808
60.344675,5.363236,136.108
60.344723,5.363267,136.808
60.344751,5.363278,137.208
60.344751,5.363278,137.208
60.344787,5.363298,137.308
60.344899,5.363364,137.308
60.345282,5.363605,136.308
60.345319,5.363627,135.908
60.345367,5.36365,135.708
60.345382,5.363664,135.608
60.345382,5.363664,135.608
60.345416,5.363705,135.408
60.345475,5.363751,134.808
60.345512,5.363778,134.508
60.345558,5.363809,134.208
60.345608,5.363846,133.908
60.345673,5.3639,133.608
60.345673,5.3639,133.608
60.345793,5.363956,132.808
60.345922,5.363999,131.208
60.346028,5.364026,130.408
60.346095,5.364041,129.908
60.346147,5.364051,129.408
60.346277,5.364073,129.208
60.346399,5.364087,128.308
60.346471,5.364084,128.208
60.346471,5.364084,128.208
60.346531,5.364103,128.208
60.346604,5.364131,127.908
60.346673,5.36417,127.108
60.346673,5.36417,127.108
60.346783,5.36423,126.008
60.346882,5.364303,125.108
60.346928,5.364344,125.031
60.347971,5.365403,118.509
60.348055,5.365481,118.309
60.34815,5.365565,118.209
60.348243,5.36565,118.009
60.348243,5.36565,118.009
60.348358,5.365777,118.009
60.348398,5.365815,117.31
60.34849,5.365905,117.709
60.348509,5.365921,118.009
60.34852,5.365931,118.009
60.348557,5.365988,116.79
60.350045,5.367059,108.209
60.350162,5.367163,106.609
60.350276,5.367286,106.409
60.350392,5.367431,105.009
60.350437,5.367501,104.909
60.350437,5.367501,104.909
60.350458,5.367535,104.509
60.350472,5.367549,104.209
60.35048,5.36756,104.109
60.350538,5.367628,103.909
60.350561,5.367664,103.871
60.351715,5.368773,96.009
60.351759,5.368783,94.999
60.353027,5.368594,87.109
60.353084,5.368579,86.609
60.35318,5.368558,85.809
60.353271,5.368542,85.609
60.353396,5.36851,85.309
60.35353,5.368492,84.609
60.353579,5.368486,84.609
60.353954,5.368427,83.609
60.354122,5.368404,83.109
60.354223,5.36839,83.009
60.354307,5.36839,82.609
60.354423,5.368382,82.609
60.354551,5.368387,82.609
60.354682,5.368381,82.509
60.354807,5.368378,82.409
60.354932,5.368368,82.009
60.355062,5.368353,81.809
60.35519,5.368343,81.809
60.355274,5.368338,81.909
60.355405,5.368335,81.909
60.355538,5.368327,81.809
60.355662,5.368317,82.009
60.355785,5.368303,81.809
60.355922,5.368289,80.909
60.356062,5.368271,80.709
60.356062,5.368271,80.709
60.356117,5.368281,80.509
60.356223,5.368287,80.609
60.356319,5.368287,80.809
60.356436,5.368282,80.909
60.356577,5.368269,80.909
60.356577,5.368269,80.909
60.356786,5.368256,81.109
60.356825,5.368252,81.409
60.356896,5.368249,81.309
60.357023,5.368237,80.609
60.357156,5.368228,80.609
60.357279,5.368232,80.309
60.357279,5.368232,80.309
60.357422,5.368235,79.735
60.357544,5.368239,79.809
60.357607,5.368238,79.609
60.357695,5.368238,79.109
60.357823,5.368231,78.809
60.357951,5.368233,78.309
60.358081,5.368232,78.109
60.358218,5.368242,78.109
60.358353,5.368248,77.579
60.358636,5.368252,77.409
60.358757,5.368252,76.609
60.358884,5.368254,76.409
60.359014,5.368241,76.109
60.360402,5.368212,76.409
60.360482,5.368204,76.409
60.360525,5.368198,76.442
60.360834,5.368127,76.709
60.360906,5.36808,76.809
60.36101,5.368005,77.009
60.361051,5.367969,77.009
60.361124,5.367876,77.009
60.361194,5.367762,77.009
60.361284,5.367558,77.109
60.361305,5.367504,77.309
60.361327,5.367443,77.308
60.36136,5.367326,76.94
60.36136,5.367326,76.94
60.361397,5.367241,77.708
60.361448,5.367121,78.098
60.361448,5.367121,78.098
60.361462,5.367089,78.108
60.361468,5.367074,78.108
60.361512,5.366964,78.308
60.36159,5.366789,78.508
60.361683,5.366606,78.508
60.361786,5.366431,78.508
60.361831,5.366363,78.408
60.361946,5.366223,78.008
60.362024,5.366156,77.608
60.362097,5.366118,77.608
60.362225,5.366041,77.508
60.362315,5.365991,77.508
60.362381,5.365972,77.508
60.362478,5.365957,77.008
60.362618,5.365945,76.508
60.362736,5.365936,76.508
60.362835,5.365924,76.608
60.362835,5.365924,76.608
60.362853,5.365922,76.808
60.362917,5.365912,76.908
60.362917,5.365912,76.908
60.362945,5.365911,77.008
60.363,5.365929,77.108
60.363,5.365929,77.108
60.363071,5.365946,77.508
60.36432,5.36582,84.108
60.364499,5.365804,84.608
60.364624,5.365794,85.608
60.364718,5.36579,86.008
60.364763,5.365793,86.121
60.365178,5.365783,83.808
60.365252,5.365777,83.616
60.365368,5.36577,83.313
60.365473,5.365766,83.041
60.365542,5.365756,82.859
60.365665,5.365725,82.538
60.365788,5.365695,82.215
60.365927,5.365693,81.854
60.366062,5.365678,81.501
60.366127,5.365661,81.331
60.366179,5.365649,81.195
60.366222,5.365643,81.081
60.366329,5.365628,80.408
60.366374,5.365614,78.47
60.366441,5.365592,75.608
60.368372,5.363035,61.608
60.368425,5.362743,60.608
60.368476,5.362513,60.208
60.36851,5.36241,59.908
60.36855,5.362331,59.595
60.370583,5.360629,49.208
60.370776,5.360486,49.108
60.370931,5.360371,49.108
60.370995,5.36032,49.051
60.371044,5.360286,49.008
60.371112,5.360247,49.008
60.371112,5.360247,49.008
60.371198,5.360197,48.908
60.371298,5.360139,48.908
60.371363,5.360095,49.008
60.37146,5.360028,49.008
60.371604,5.359923,48.808
60.371767,5.359804,48.508
60.371767,5.359804,48.508
60.37181,5.359781,48.205
60.375711,5.359145,47.508
60.375729,5.35915,47.254
60.375729,5.35915,47.254
60.375802,5.359167,46.208
60.375933,5.35921,44.908
60.376023,5.359251,43.908
60.376023,5.359251,43.908
60.376082,5.359265,43.308
60.376172,5.359293,42.44
60.379001,5.360534,48.088
60.379056,5.360537,46.608
60.379082,5.360536,46.702
60.382427,5.358644,57.608
60.382575,5.358552,57.708
60.383573,5.357723,58.308
60.383631,5.357646,58.187
60.384112,5.357107,58.308
60.384144,5.35702,58.208
60.384169,5.356929,58.108
60.384194,5.35683,58.008
60.384194,5.35683,58.008
60.384211,5.356686,57.808
60.384224,5.356556,57.708
60.384224,5.356556,57.708
60.384232,5.356417,57.608
60.384251,5.356159,57.608
60.384259,5.355979,57.608
60.384313,5.355311,57.408
60.384334,5.355157,57.208
60.38436,5.354988,56.808
60.384395,5.354804,56.408
60.384441,5.354616,55.908
60.384479,5.354468,55.508
60.384529,5.354293,55.108
60.384583,5.354136,54.608
60.384628,5.354018,54.308
60.38467,5.353916,54.008
60.38467,5.353916,54.008
60.384729,5.353778,53.608
60.384799,5.353618,53.108
60.384835,5.353532,53.008
60.384868,5.353451,52.808
60.38491,5.353342,52.608
60.384929,5.353292,52.508
60.385027,5.353031,52.008
60.385059,5.352945,51.908
60.385101,5.352824,51.907
60.385187,5.352589,51.607
60.385292,5.352299,51.207
60.385314,5.35224,51.087
60.387214,5.347579,41.907
60.387224,5.347441,41.707
60.387233,5.347283,41.407
60.387244,5.347117,41.107
60.387257,5.346961,40.907
60.387272,5.346827,40.607
60.387299,5.346475,40.207
60.387299,5.346475,40.207
60.3873,5.346398,40.207
60.387301,5.346345,39.907
60.387304,5.346295,39.61
60.387211,5.345517,38.007
60.387213,5.345409,38.007
60.387278,5.345068,37.207
60.387304,5.344988,37.107
60.387343,5.344871,36.607
60.387388,5.34474,35.707
60.38745,5.344563,34.707
60.387493,5.344433,34.007
60.38755,5.34427,32.907
60.387606,5.344107,31.907
60.387669,5.34393,30.707
60.387756,5.343689,29.007
60.387756,5.343689,29.007
60.387784,5.34361,28.607
60.387845,5.343441,27.507
60.387914,5.343249,26.507
60.387978,5.343071,25.707
60.388024,5.34294,25.007
60.388071,5.342807,24.507
60.388125,5.342656,23.907
60.38818,5.342502,23.207
60.388239,5.342337,22.507
60.388239,5.342337,22.507
60.388272,5.342245,22.207
60.388334,5.342071,21.807
60.388405,5.341872,21.307
60.388425,5.341815,21.182
60.388471,5.34169,20.907
60.388544,5.341489,20.507
60.388606,5.341317,20.007
60.38868,5.341116,19.507
60.388726,5.34098,19.007
60.388775,5.340835,18.507
60.388832,5.340688,17.907
60.388925,5.340437,16.807
60.389255,5.339566,13.407
60.389327,5.339378,13.207
60.389432,5.339118,12.407
60.389432,5.339118,12.407
60.389515,5.338905,12.107
60.389585,5.338718,11.807
60.389672,5.338483,11.407
60.389787,5.338182,11.107
60.389909,5.337866,10.943
60.390153,5.337214,11.107
60.390219,5.337046,11.207
60.390265,5.336926,11.407
60.390306,5.336828,11.607
60.390362,5.336694,11.607
60.390412,5.336597,11.873
60.390575,5.336194,11.707
60.390592,5.336136,11.707
60.390636,5.335978,11.507
60.390654,5.335913,11.54
60.390719,5.335684,11.207
60.390815,5.335378,11.207
60.390853,5.335251,10.907
60.390882,5.335153,10.707
60.390882,5.335153,10.707
60.390928,5.334986,10.606
60.391024,5.334646,9.906
60.391098,5.334418,9.706
60.391153,5.334262,9.406
60.391215,5.334094,9.306
60.39126,5.33398,9.106
60.391312,5.333855,8.906
60.391337,5.333798,8.906
60.391337,5.333798,8.906
60.391378,5.333705,8.806
60.391378,5.333705,8.806
60.391399,5.333666,8.906
60.391409,5.333647,8.906
60.391409,5.333647,8.906
60.39145,5.333569,8.906
60.391488,5.333495,8.906
60.391516,5.333441,8.906
60.391516,5.333441,8.906
60.391569,5.333345,8.906
60.391608,5.333269,8.906
60.391608,5.333269,8.906
60.391706,5.333088,9.106
60.391783,5.332944,9.206
60.391881,5.33276,9.206
60.391881,5.33276,9.206
60.391926,5.332675,9.206
60.392025,5.332497,9.306
60.392091,5.332388,9.206
60.39232,5.33206,8.906
60.392394,5.331923,10.64
60.39249,5.331759,8.606
60.39253,5.331686,8.406
60.392592,5.331578,8.406
60.392638,5.331499,8.206
60.392735,5.331327,7.806
60.392816,5.33117,7.6
60.392921,5.331038,7.606
60.3929,5.330934,7.306
60.392888,5.330875,7.306
60.392778,5.330616,7.106
60.39269,5.330439,7.306
60.392552,5.330179,7.806
60.392507,5.33006,7.906
60.392507,5.33006,7.906
60.392494,5.329988,8.006
60.392483,5.329898,8.106
60.39286,5.328676,5.906
60.392883,5.328621,5.806
60.392904,5.328569,5.606
60.392904,5.328569,5.606
60.392924,5.328521,5.506
60.392975,5.328365,5.106
60.393007,5.328239,5.006
60.393032,5.32812,4.906
60.393058,5.327982,4.606
60.39309,5.327803,4.606
60.39309,5.327803,4.606
60.393105,5.32759,4.306
60.393108,5.327424,4.506
60.377977,5.359997,41.708
