X,Y,Z
-31701.09,6727962.4,34.608
-31699.0,6727962.8,34.408
-31695.2,6727964.1,34.108
-31690.74,6727964.06,34.49
-31687.59,6727964.4,33.808
-31681.91,6727963.3,33.508
-31678.3,6727962.0,33.708
-31669.826,6727957.463,34.678
-31659.91,6727952.3,35.008
-31647.09,6727946.2,35.708
-31639.91,6727943.9,36.208
-31626.09,6727939.5,37.008
-31617.2,6727936.9,37.408
-31605.2,6727932.8,37.408
-31591.2,6727927.4,38.008
-31578.2,6727921.9,38.908
-31573.8,6727920.0,39.208
-31567.59,6727917.6,39.208
-31561.7,6727915.2,39.208
-31550.092,6727911.359,39.84
-31540.72,6727907.968,40.074
-31533.302,6727905.397,40.208
-31531.191,6727904.674,40.214
-31517.41,6727900.21,40.438
-31507.7,6727898.0,40.588
-31502.13,6727897.49,40.618
-31499.77,6727897.43,40.628
-31498.55,6727897.73,40.628
-31496.54,6727898.04,40.618
-31492.17,6727899.44,40.688
-31490.88,6727899.89,40.798
-31489.0,6727900.94,40.998
-31483.48,6727905.7,40.858
-31481.65,6727907.79,40.898
-31480.81,6727908.51,40.998
-31479.62,6727910.19,41.008
-31479.07,6727911.21,41.068
-31475.8,6727919.04,41.448
-31475.53,6727919.98,41.528
-31475.05,6727921.17,41.668
-31471.94,6727932.664,42.423
-31470.246,6727938.383,42.903
-31466.051,6727947.41,43.743
-31460.252,6727955.619,44.544
-31453.121,6727962.555,45.368
-31444.762,6727968.142,46.196
-31435.543,6727972.098,47.13
-31425.85,6727974.547,47.999
-31415.994,6727976.492,48.809
-31406.285,6727978.962,49.565
-31397.059,6727982.772,50.379
-31388.978,6727988.614,51.184
-31382.643,6727996.358,52.081
-31377.848,6728005.18,52.894
-31369.58,6728023.519,54.501
-31364.63,6728034.333,55.758
-31360.49,6728041.29,56.163
-31354.324,6728049.312,57.016
-31346.688,6728055.813,57.693
-31337.952,6728060.571,58.328
-31328.459,6728063.75,58.808
-31315.759,6728066.528,59.16
-31306.41,6728067.5,60.008
-31298.5,6728068.9,60.408
-31284.7,6728071.7,59.808
-31270.7,6728075.2,59.608
-31263.3,6728077.5,59.508
-31254.7,6728080.5,59.408
-31240.8,6728086.7,58.908
-31233.09,6728091.8,58.208
-31230.5,6728093.9,58.108
-31227.09,6728096.6,57.908
-31222.3,6728100.5,57.908
-31218.7,6728104.0,57.708
-31210.5,6728112.5,57.008
-31201.09,6728123.5,56.608
-31191.2,6728135.5,55.908
-31185.0,6728143.0,55.408
-31181.59,6728146.9,55.308
-31176.7,6728152.2,55.808
-31171.8,6728156.7,56.308
-31166.41,6728161.4,56.708
-31162.09,6728165.0,57.008
-31153.5,6728170.7,58.108
-31147.09,6728174.4,58.308
-31134.0,6728181.4,58.908
-31130.5,6728183.1,59.308
-31119.3,6728189.2,61.008
-31106.09,6728196.1,62.708
-31095.41,6728202.3,64.008
-31087.8,6728206.7,64.808
-31086.2,6728207.6,65.008
-31081.09,6728211.1,65.608
-31069.0,6728220.7,66.908
-31064.5,6728224.3,67.608
-31055.91,6728232.1,69.608
-31048.2,6728240.4,70.108
-31044.41,6728244.4,70.408
-31040.7,6728248.7,70.608
-31033.3,6728256.6,71.608
-31023.3,6728267.2,73.408
-31017.91,6728273.9,74.308
-31011.41,6728281.2,75.508
-31002.09,6728291.8,77.308
-30996.0,6728298.1,78.008
-30985.91,6728309.0,79.008
-30979.59,6728316.3,79.808
-30974.09,6728322.0,80.908
-30969.59,6728327.6,82.008
-30965.09,6728332.6,82.608
-30955.59,6728342.9,84.108
-30948.8,6728350.7,86.108
-30939.41,6728361.1,89.108
-30936.09,6728364.8,90.008
-30925.59,6728375.8,92.508
-30918.09,6728384.4,94.308
-30908.2,6728394.7,96.408
-30897.59,6728405.6,98.008
-30889.41,6728414.1,99.508
-30884.2,6728419.4,99.808
-30877.3,6728426.3,100.608
-30867.2,6728437.2,101.108
-30858.2,6728446.0,102.108
-30850.2,6728455.0,102.508
-30839.7,6728465.5,104.608
-30834.2,6728471.0,105.708
-30824.09,6728481.1,107.408
-30819.0,6728486.3,107.808
-30812.3,6728492.7,108.608
-30803.5,6728500.9,110.508
-30793.3,6728511.0,112.108
-30787.2,6728516.5,113.008
-30780.59,6728522.7,114.508
-30769.91,6728533.0,116.108
-30760.41,6728541.7,117.308
-30750.09,6728551.4,118.708
-30744.3,6728557.1,119.708
-30742.59,6728558.6,119.708
-30738.3,6728563.2,119.908
-30728.41,6728573.9,121.008
-30719.0,6728584.7,121.708
-30715.0,6728589.5,121.808
-30712.7,6728592.3,122.308
-30709.59,6728596.4,122.708
-30706.262,6728600.582,122.774
-30704.3,6728603.2,123.11
-30700.7,6728607.5,123.686
-30692.41,6728617.6,125.027
-30686.59,6728625.2,126.01
-30681.3,6728632.5,126.935
-30675.3,6728640.0,127.921
-30660.5,6728659.4,130.426
-30657.91,6728663.3,130.907
-30654.121,6728667.77,131.508
-30652.124,6728670.842,132.008
-30649.213,6728675.157,132.708
-30644.423,6728682.149,133.808
-30640.571,6728689.406,134.908
-30634.129,6728701.774,135.808
-30627.566,6728713.739,136.108
-30625.07,6728718.84,136.808
-30624.02,6728721.786,137.208
-30622.383,6728725.593,137.308
-30616.926,6728737.45,137.308
-30614.5,6728742.8,137.308
-30609.424,6728753.295,137.308
-30603.966,6728764.128,137.308
-30597.466,6728777.83,136.308
-30595.621,6728781.766,135.908
-30593.59,6728786.9,135.708
-30592.59,6728788.4,135.608
-30589.8,6728791.9,135.408
-30586.3,6728798.0,134.808
-30584.2,6728801.9,134.508
-30581.8,6728806.7,134.208
-30578.91,6728812.0,133.908
-30574.91,6728818.7,133.608
-30569.91,6728831.5,132.808
-30565.41,6728845.4,131.208
-30562.2,6728856.9,130.408
-30560.3,6728864.2,129.908
-30558.91,6728869.9,129.408
-30555.59,6728884.1,129.208
-30552.8,6728897.5,128.308
-30551.8,6728905.5,128.208
-30549.8,6728911.9,128.208
-30547.09,6728919.8,127.908
-30543.8,6728927.1,127.108
-30538.7,6728938.8,126.008
-30533.09,6728949.1,125.108
-30530.138,6728953.866,125.031
-30525.41,6728961.5,124.908
-30521.0,6728968.1,124.408
-30513.0,6728979.8,123.508
-30507.59,6728986.7,123.408
-30498.8,6728997.9,123.108
-30492.7,6729006.6,122.408
-30485.0,6729019.0,121.308
-30477.2,6729030.6,120.708
-30468.91,6729042.3,119.808
-30460.41,6729053.2,118.608
-30456.8,6729058.1,118.508
-30455.09,6729060.6,118.509
-30449.41,6729069.3,118.309
-30443.3,6729079.1,118.209
-30437.09,6729088.7,118.009
-30428.3,6729100.4,118.009
-30425.533,6729104.507,117.31
-30421.159,6729110.161,116.92
-30419.09,6729114.0,117.709
-30417.91,6729115.9,118.009
-30417.2,6729117.1,118.009
-30413.5,6729120.65,116.79
-30410.59,6729124.8,117.209
-30402.7,6729136.3,116.609
-30396.8,6729144.6,116.509
-30389.0,6729156.7,116.009
-30384.7,6729163.2,115.909
-30381.09,6729168.3,115.909
-30372.394,6729179.375,115.609
-30366.492,6729188.338,115.309
-30362.582,6729194.813,114.709
-30356.625,6729208.013,113.609
-30354.084,6729215.394,113.409
-30349.91,6729229.3,111.909
-30344.91,6729243.1,110.809
-30339.5,6729257.0,109.709
-30333.7,6729270.6,108.509
-30330.5,6729276.6,108.209
-30322.91,6729288.7,106.609
-30314.3,6729300.3,106.409
-30304.5,6729311.9,105.009
-30299.91,6729316.3,104.909
-30297.7,6729318.4,104.509
-30296.7,6729319.8,104.209
-30296.0,6729320.6,104.109
-30291.3,6729326.5,103.909
-30288.956,6729328.708,103.871
-30282.7,6729335.3,103.309
-30273.91,6729346.7,102.509
-30264.5,6729356.9,101.809
-30254.41,6729367.5,101.509
-30246.59,6729378.3,100.409
-30238.41,6729389.9,99.409
-30229.91,6729402.3,98.509
-30226.0,6729408.6,98.009
-30219.09,6729421.3,97.109
-30216.09,6729426.5,96.809
-30213.7,6729431.8,96.809
-30211.41,6729440.95,95.899
-30210.2,6729444.0,96.109
-30209.36,6729447.392,96.009
-30208.12,6729452.13,94.999
-30205.7,6729458.0,95.409
-30204.2,6729464.6,94.909
-30202.5,6729478.2,94.109
-30202.3,6729483.8,93.309
-30201.8,6729498.4,92.609
-30201.5,6729507.6,92.509
-30200.8,6729520.2,92.109
-30200.09,6729535.0,90.609
-30199.6,6729542.77,89.77
-30200.0,6729549.2,89.109
-30199.2,6729560.5,88.309
-30198.91,6729570.3,87.609
-30198.09,6729585.6,87.109
-30197.91,6729592.7,87.109
-30197.8,6729593.8,87.109
-30197.7,6729600.3,86.609
-30197.3,6729611.0,85.809
-30196.7,6729621.2,85.609
-30196.41,6729635.3,85.309
-30195.2,6729650.3,84.609
-30194.72,6729655.74,84.609
-30193.91,6729664.6,84.609
-30192.7,6729678.3,84.509
-30192.302,6729692.016,83.909
-30191.835,6729697.706,83.609
-30190.375,6729716.433,83.109
-30189.479,6729727.687,83.009
-30188.125,6729737.044,82.609
-30186.641,6729749.869,82.609
-30184.3,6729764.0,82.609
-30182.5,6729778.5,82.509
-30180.59,6729792.4,82.409
-30179.09,6729806.3,82.009
-30177.8,6729820.8,81.809
-30176.3,6729835.0,81.809
-30175.2,6729844.3,81.909
-30173.2,6729858.8,81.909
-30171.5,6729873.6,81.809
-30170.0,6729887.4,82.009
-30168.8,6729901.1,81.809
-30167.3,6729916.4,80.909
-30166.0,6729932.0,80.709
-30164.59,6729938.0,80.509
-30162.5,6729949.7,80.609
-30160.91,6729960.3,80.809
-30159.3,6729973.3,80.909
-30157.7,6729989.0,80.909
-30155.0,6730012.2,81.109
-30154.59,6730016.5,81.409
-30153.59,6730024.4,81.309
-30152.2,6730038.5,80.609
-30150.5,6730053.3,80.609
-30148.3,6730066.9,80.309
-30145.772,6730082.698,79.735
-30143.59,6730096.1,79.809
-30142.59,6730103.1,79.609
-30141.2,6730112.8,79.109
-30139.5,6730127.0,78.809
-30137.3,6730141.2,78.309
-30135.2,6730155.6,78.109
-30132.41,6730170.6,78.109
-30129.913,6730185.446,77.579
-30128.59,6730192.9,78.109
-30126.41,6730203.1,78.009
-30125.09,6730216.7,77.409
-30123.09,6730230.1,76.609
-30120.91,6730244.2,76.409
-30119.5,6730258.6,76.109
-30118.09,6730272.4,75.609
-30116.3,6730284.5,75.409
-30114.2,6730298.6,75.409
-30112.2,6730312.1,75.409
-30110.09,6730326.4,75.409
-30107.8,6730340.5,75.409
-30106.3,6730355.0,75.409
-30104.91,6730369.5,75.409
-30103.811,6730374.82,75.409
-30102.46,6730383.842,75.65
-30101.511,6730389.775,75.809
-30099.407,6730404.035,76.009
-30098.461,6730412.335,76.409
-30097.59,6730421.2,76.409
-30097.201,6730426.041,76.442
-30096.41,6730435.9,76.509
-30096.09,6730444.8,76.509
-30096.09,6730460.8,76.709
-30097.5,6730469.1,76.809
-30099.91,6730481.2,77.009
-30101.2,6730486.0,77.009
-30105.09,6730494.9,77.009
-30110.2,6730503.5,77.009
-30119.91,6730515.1,77.109
-30122.5,6730517.9,77.309
-30125.5,6730520.8,77.308
-30131.356,6730525.392,76.94
-30135.41,6730530.2,77.708
-30141.136,6730536.778,78.098
-30142.7,6730538.6,78.108
-30143.41,6730539.4,78.108
-30148.7,6730545.1,78.308
-30157.0,6730555.2,78.508
-30165.5,6730566.9,78.508
-30173.41,6730579.7,78.508
-30176.41,6730585.2,78.408
-30182.2,6730599.1,78.008
-30184.59,6730608.3,77.608
-30185.5,6730616.6,77.608
-30187.646,6730631.456,77.508
-30188.89,6730641.8,77.508
-30188.846,6730649.235,77.508
-30188.092,6730660.045,77.008
-30186.49,6730675.623,76.508
-30185.047,6730688.723,76.508
-30184.095,6730699.817,76.608
-30183.891,6730701.784,76.808
-30183.387,6730708.969,76.908
-30182.969,6730712.106,77.008
-30181.114,6730717.958,77.108
-30179.055,6730725.672,77.508
-30177.5,6730739.1,77.808
-30176.09,6730753.7,78.108
-30175.586,6730760.146,78.236
-30175.3,6730763.8,78.308
-30174.41,6730777.8,79.008
-30173.09,6730791.8,79.608
-30172.0,6730805.8,81.108
-30171.09,6730815.5,81.608
-30169.7,6730829.0,82.308
-30167.91,6730842.9,83.008
-30166.41,6730855.0,83.608
-30165.555,6730864.806,84.108
-30163.5,6730884.8,84.608
-30162.0,6730898.6,85.608
-30160.7,6730909.1,86.008
-30159.834,6730913.979,86.121
-30158.41,6730922.0,86.32
-30157.0,6730936.1,86.666
-30156.09,6730942.8,86.831
-30155.476,6730946.903,86.933
-30153.59,6730960.0,83.808
-30152.7,6730968.2,83.616
-30151.2,6730981.1,83.313
-30149.7,6730992.7,83.041
-30149.09,6731000.5,82.859
-30148.797,6731014.262,82.538
-30148.451,6731028.114,82.215
-30146.286,6731043.492,81.854
-30144.934,6731058.569,81.501
-30144.804,6731065.862,81.331
-30144.587,6731071.693,81.195
-30144.213,6731076.585,81.081
-30143.3,6731088.45,80.408
-30143.3,6731093.6,78.47
-30143.41,6731101.2,75.608
-30143.585,6731106.255,75.608
-30144.59,6731124.3,74.608
-30144.5,6731134.8,74.508
-30144.825,6731143.0,74.408
-30146.46,6731157.989,73.608
-30147.03,6731168.78,75.738
-30148.902,6731178.359,74.627
-30150.957,6731192.504,73.0
-30152.07,6731200.733,72.054
-30153.923,6731215.078,70.408
-30155.013,6731222.893,69.608
-30155.826,6731227.904,69.608
-30157.233,6731235.13,69.408
-30159.115,6731244.311,69.008
-30161.0,6731252.9,68.108
-30164.41,6731261.5,68.008
-30171.91,6731274.5,67.108
-30174.59,6731278.9,66.908
-30182.59,6731287.8,66.308
-30190.352,6731296.86,66.108
-30195.563,6731301.893,65.608
-30200.086,6731305.831,64.608
-30205.226,6731309.697,64.508
-30211.847,6731313.89,64.408
-30216.023,6731316.52,63.908
-30226.874,6731322.323,63.362
-30230.297,6731324.138,63.308
-30234.644,6731326.523,63.308
-30239.996,6731329.167,62.808
-30243.878,6731331.145,62.108
-30248.571,6731333.574,61.608
-30251.944,6731335.377,61.608
-30267.087,6731343.515,60.608
-30278.83,6731351.085,60.208
-30283.91,6731355.615,59.908
-30287.569,6731360.639,59.595
-30293.876,6731371.796,62.138
-30295.731,6731375.118,59.108
-30297.153,6731378.212,59.008
-30298.407,6731380.72,58.508
-30300.056,6731383.88,61.608
-30304.2,6731391.9,61.035
-30307.2,6731402.3,60.349
-30308.41,6731407.3,60.023
-30309.3,6731414.0,59.594
-30313.164,6731419.331,59.176
-30315.507,6731429.762,58.498
-30317.883,6731440.159,57.822
-30321.874,6731457.133,56.716
-30324.507,6731471.533,55.788
-30326.383,6731482.0,55.113
-30328.804,6731496.066,54.208
-30330.288,6731506.747,57.108
-30331.694,6731510.8,56.748
-30333.682,6731522.202,55.777
-30334.839,6731529.067,55.193
-30336.473,6731535.534,54.633
-30338.083,6731547.664,53.606
-30341.173,6731562.733,52.315
-30343.039,6731575.004,51.274
-30345.54,6731587.266,50.224
-30347.575,6731599.198,49.208
-30352.293,6731621.664,49.108
-30356.026,6731639.766,49.108
-30357.802,6731647.276,49.051
-30358.86,6731652.999,49.008
-30359.836,6731660.801,49.008
-30361.168,6731670.733,48.908
-30362.768,6731682.199,48.908
-30364.09,6731689.8,49.008
-30366.2,6731701.0,49.008
-30369.59,6731717.8,48.808
-30373.41,6731736.8,48.508
-30373.986,6731741.76,48.205
-30374.541,6731747.832,51.205
-30375.5,6731754.8,47.764
-30375.627,6731755.644,47.347
-30377.8,6731770.1,46.308
-30380.41,6731786.7,45.308
-30383.8,6731802.1,44.308
-30387.366,6731823.855,43.327
-30387.8,6731826.5,43.208
-30388.09,6731843.3,43.208
-30386.09,6731860.0,43.108
-30364.91,6731996.3,42.808
-30345.09,6732178.2,47.508
-30344.565,6732180.138,47.254
-30342.41,6732188.1,46.208
-30337.91,6732202.2,44.908
-30334.2,6732211.8,43.908
-30332.5,6732218.2,43.308
-30329.503,6732227.902,42.44
-30328.7,6732230.5,42.208
-30325.09,6732243.3,41.008
-30322.91,6732254.8,40.608
-30322.09,6732263.8,40.408
-30321.0,6732273.2,40.108
-30320.2,6732287.3,39.708
-30319.874,6732301.304,40.437
-30319.55,6732315.3,41.168
-30319.496,6732320.023,41.008
-30319.419,6732325.751,41.027
-30319.43,6732342.61,40.99
-30319.106,6732345.166,41.308
-30318.549,6732350.151,41.308
-30318.12,6732352.027,41.374
-30317.249,6732355.841,41.508
-30307.969,6732375.664,41.508
-30306.002,6732378.328,41.69
-30305.267,6732379.205,41.754
-30303.508,6732381.304,41.769
-30299.047,6732385.556,41.802
-30285.49,6732398.79,42.608
-30283.486,6732400.702,42.674
-30272.493,6732411.251,42.191
-30261.5,6732421.8,41.708
-30251.5,6732431.7,41.908
-30243.41,6732442.6,42.208
-30239.513,6732449.695,42.508
-30238.156,6732451.894,42.549
-30236.294,6732455.061,42.608
-30231.32,6732463.98,43.008
-30229.747,6732467.942,43.322
-30225.09,6732479.5,44.241
-30221.785,6732491.6,45.156
-30219.551,6732501.514,45.906
-30217.3,6732516.0,46.992
-30216.028,6732525.183,47.755
-30215.585,6732528.188,47.901
-30215.374,6732530.712,48.088
-30214.29,6732536.717,46.608
-30213.958,6732539.664,46.702
-30213.096,6732549.712,47.208
-30212.211,6732564.556,47.708
-30212.052,6732576.1,48.008
-30212.382,6732583.075,48.008
-30212.778,6732588.4,48.108
-30213.184,6732593.249,48.508
-30214.7,6732603.8,48.708
-30215.37,6732611.125,48.708
-30216.568,6732619.851,49.108
-30218.627,6732633.474,50.008
-30220.926,6732649.698,52.398
-30222.479,6732660.308,50.108
-30223.848,6732666.192,50.208
-30224.562,6732669.423,50.308
-30226.823,6732681.062,52.156
-30228.046,6732688.938,53.398
-30228.059,6732691.546,53.805
-30229.819,6732701.232,54.17
-30231.201,6732709.198,51.762
-30232.169,6732722.787,52.008
-30233.146,6732730.273,52.608
-30235.12,6732743.94,52.708
-30237.38,6732758.427,52.708
-30238.366,6732763.607,52.808
-30238.839,6732768.686,52.808
-30239.52,6732771.834,52.808
-30240.636,6732778.166,54.408
-30241.799,6732787.278,55.908
-30244.723,6732807.48,56.208
-30247.616,6732823.343,56.408
-30248.596,6732831.654,56.508
-30250.203,6732843.007,56.658
-30252.02,6732854.3,56.808
-30253.853,6732868.26,57.108
-30254.73,6732872.934,57.108
-30257.526,6732891.947,57.408
-30260.6,6732909.9,57.508
-30262.866,6732924.765,57.608
-30265.51,6732941.887,57.708
-30267.646,6732956.98,57.808
-30272.003,6732975.18,57.908
-30276.972,6732993.823,57.808
-30282.432,6733013.6,57.808
-30287.278,6733033.13,57.808
-30292.378,6733050.239,57.81
-30294.562,6733058.885,58.308
-30297.872,6733065.91,58.187
-30299.3,6733070.5,58.108
-30303.41,6733087.1,58.208
-30308.5,6733105.0,58.308
-30311.09,6733111.4,58.308
-30314.3,6733117.1,58.208
-30319.5,6733123.4,58.308
-30323.7,6733127.7,58.208
-30328.3,6733131.2,58.108
-30333.3,6733134.7,58.008
-30340.91,6733137.8,57.808
-30347.8,6733140.3,57.708
-30355.3,6733142.3,57.608
-30369.09,6733146.5,57.608
-30378.797,6733148.774,57.608
-30384.8,6733150.3,57.608
-30400.09,6733154.8,57.508
-30414.5,6733160.2,57.408
-30422.59,6733163.7,57.208
-30431.41,6733168.0,56.808
-30440.91,6733173.3,56.408
-30450.41,6733180.0,55.908
-30457.91,6733185.3,55.508
-30466.7,6733192.3,55.108
-30474.41,6733199.5,54.608
-30480.09,6733205.5,54.308
-30485.0,6733210.9,54.008
-30491.59,6733218.6,53.608
-30499.2,6733227.6,53.108
-30503.3,6733232.3,53.008
-30507.2,6733236.6,52.808
-30512.5,6733242.1,52.608
-30514.91,6733244.66,52.508
-30517.41,6733247.3,52.408
-30521.91,6733252.0,52.108
-30527.59,6733257.6,52.008
-30531.8,6733261.8,51.908
-30537.7,6733267.4,51.907
-30549.2,6733278.8,51.607
-30563.3,6733292.8,51.207
-30566.19,6733295.63,51.087
-30575.2,6733304.5,50.707
-30592.8,6733322.9,50.207
-30605.3,6733337.7,49.707
-30611.8,6733346.4,49.607
-30618.2,6733356.0,49.407
-30622.7,6733362.4,49.107
-30631.5,6733373.7,48.607
-30635.91,6733379.1,48.407
-30647.91,6733392.6,47.707
-30659.59,6733405.2,47.407
-30668.3,6733414.3,46.907
-30679.91,6733426.9,46.407
-30691.0,6733439.9,46.007
-30698.59,6733449.9,45.507
-30704.91,6733460.1,45.207
-30710.41,6733470.7,44.707
-30710.8,6733471.3,44.707
-30716.8,6733484.8,44.207
-30725.59,6733501.0,43.507
-30728.0,6733504.1,43.507
-30735.8,6733513.1,43.207
-30743.8,6733520.4,43.107
-30752.41,6733526.0,42.907
-30761.7,6733531.3,42.607
-30769.2,6733535.2,42.407
-30777.41,6733539.1,42.207
-30779.868,6733540.526,42.107
-30790.2,6733543.5,41.907
-30797.59,6733545.7,41.707
-30806.09,6733548.0,41.407
-30815.0,6733550.5,41.107
-30823.3,6733553.2,40.907
-30830.41,6733555.9,40.607
-30849.2,6733561.8,40.207
-30853.41,6733562.5,40.207
-30856.3,6733563.1,39.907
-30858.995,6733563.797,39.61
-30862.41,6733563.9,39.607
-30871.3,6733564.0,39.207
-30879.5,6733563.0,39.007
-30884.3,6733562.1,38.907
-30892.2,6733560.6,38.407
-30896.2,6733560.1,38.257
-30900.2,6733559.6,38.107
-30903.086,6733559.763,38.007
-30908.94,6733560.897,38.007
-30912.09,6733561.7,37.907
-30918.91,6733564.8,37.707
-30926.59,6733570.8,37.207
-30930.5,6733574.4,37.107
-30936.3,6733579.6,36.607
-30942.7,6733585.7,35.707
-30951.41,6733593.9,34.707
-30957.8,6733599.8,34.007
-30965.8,6733607.4,32.907
-30973.8,6733614.9,31.907
-30982.41,6733623.3,30.707
-30994.2,6733634.8,29.007
-30998.09,6733638.6,28.607
-31006.3,6733646.7,27.507
-31015.7,6733655.9,26.507
-31024.41,6733664.4,25.707
-31030.8,6733670.5,25.007
-31037.3,6733676.8,24.507
-31044.7,6733684.0,23.907
-31052.2,6733691.3,23.207
-31060.3,6733699.2,22.507
-31064.8,6733703.6,22.207
-31073.3,6733711.8,21.807
-31083.0,6733721.3,21.307
-31085.799,6733724.03,21.182
-31091.91,6733730.1,20.907
-31101.7,6733739.8,20.507
-31110.09,6733748.0,20.007
-31119.91,6733757.8,19.507
-31126.59,6733764.0,19.007
-31133.7,6733770.6,18.507
-31140.8,6733778.1,17.907
-31153.0,6733790.4,16.807
-31162.0,6733799.6,16.207
-31170.0,6733808.1,15.607
-31176.3,6733814.5,15.107
-31183.09,6733821.4,14.707
-31189.28,6733827.765,14.207
-31195.3,6733834.0,13.407
-31204.41,6733843.4,13.207
-31216.91,6733857.1,12.407
-31227.2,6733868.0,12.107
-31236.3,6733877.3,11.807
-31247.7,6733888.8,11.407
-31262.3,6733904.0,11.107
-31277.578,6733919.978,10.943
-31281.09,6733923.4,10.907
-31296.09,6733938.9,10.907
-31309.3,6733952.3,11.107
-31317.41,6733960.9,11.207
-31323.2,6733967.0,11.407
-31327.91,6733972.3,11.607
-31334.3,6733979.6,11.607
-31338.79,6733985.966,11.873
-31342.8,6733992.5,11.907
-31345.0,6733995.2,11.907
-31352.09,6734002.8,11.807
-31358.2,6734007.2,11.707
-31361.09,6734009.5,11.707
-31369.0,6734015.7,11.507
-31372.254,6734018.261,11.54
-31383.7,6734027.3,11.207
-31398.91,6734040.3,11.207
-31405.2,6734045.6,10.907
-31410.09,6734049.6,10.707
-31418.5,6734056.0,10.606
-31435.5,6734069.4,9.906
-31446.8,6734079.4,9.706
-31454.41,6734086.7,9.406
-31462.59,6734095.0,9.306
-31468.09,6734100.9,9.106
-31474.09,6734107.6,8.906
-31476.8,6734110.9,8.906
-31481.22,6734116.15,8.806
-31483.0,6734118.8,8.906
-31483.91,6734120.0,8.906
-31487.5,6734125.2,8.906
-31490.91,6734130.0,8.906
-31493.41,6734133.5,8.906
-31497.8,6734140.2,8.906
-31501.3,6734145.1,8.906
-31509.59,6734157.4,9.106
-31516.2,6734167.1,9.206
-31524.7,6734179.4,9.206
-31528.59,6734185.1,9.206
-31536.7,6734197.5,9.306
-31541.59,6734205.6,9.206
-31546.3,6734213.1,9.306
-31551.91,6734223.3,9.206
-31555.807,6734233.603,8.906
-31562.063,6734242.855,10.64
-31565.91,6734248.7,8.906
-31569.5,6734254.8,8.606
-31572.8,6734259.9,8.406
-31577.7,6734267.6,8.406
-31581.3,6734273.3,8.206
-31589.09,6734285.4,7.806
-31596.35,6734295.63,7.6
-31599.616,6734300.574,7.706
-31601.887,6734308.343,7.606
-31607.91,6734306.9,7.306
-31611.339,6734306.042,7.306
-31613.59,6734305.6,7.282
-31617.3,6734303.7,7.238
-31620.8,6734301.1,7.193
-31627.3,6734296.0,7.106
-31638.41,6734287.7,7.306
-31654.91,6734274.5,7.806
-31662.137,6734270.454,7.906
-31666.327,6734269.604,8.006
-31671.422,6734269.175,8.106
-31675.9,6734269.925,7.906
-31681.212,6734274.05,7.906
-31684.225,6734276.196,7.806
-31689.904,6734281.179,7.706
-31694.25,6734285.642,7.406
-31704.533,6734295.388,7.206
-31707.723,6734297.946,7.106
-31717.054,6734306.679,6.606
-31723.81,6734312.654,6.306
-31732.09,6734320.7,5.906
-31734.7,6734323.7,5.806
-31737.2,6734326.5,5.606
-31739.5,6734329.1,5.506
-31747.2,6734336.0,5.106
-31753.59,6734340.5,5.006
-31759.7,6734344.3,4.906
-31766.8,6734348.3,4.606
-31776.09,6734353.2,4.606
-31787.5,6734356.6,4.306
-31796.5,6734358.3,4.506
-31804.91,6734360.4,4.606
-31866.913,6734392.217,5.106
-31870.793,6734387.911,5.106
-31872.617,6734387.337,5.106
-31876.602,6734379.919,5.006
-31881.5,6734371.8,5.006
-31884.41,6734363.7,4.806
-31894.59,6734347.0,4.606
-31908.59,6734325.7,4.506
-31914.627,6734316.336,4.377
-31917.7,6734311.1,4.306
-31921.092,6734305.709,4.148
-31939.0,6734277.0,3.306
-31941.8,6734273.2,3.306
-31943.41,6734270.9,3.306
-31945.3,6734268.3,3.306
